Name,Atopic Dermatitis,Basophil Count,Body Mass Index,Eosinophil Counts,Graves Disease,Hashimoto Thyroiditis,Height,Hemoglobin A1c levels,Hypothyroidism,Insomnia,Lymphocyte Counts.1,Mean Corpuscular Hemoglobin Concentration,Mean Corpuscular Hemoglobin,Mean Corpuscular Volume,Medication Use Thyroid Preparations,Monocyte Count,Platelet Count,Prostate Cancer,Red Blood Cell Count,Serum Creatinine Levels,Serum Total Protein Level
Ammon S Horn,0.882768953,0.999041609,0.002017411,0.99999992,0.998791398,0.999255671,0.943094555,0.999542715,0.999785757,0.667479742,0.999998172,0.868445557,0.999749585,0.999926264,0.999992924,0.999966982,0.999559172,0.999704105,0.999998349,0.9999997,0.999960676
B Cell,0.532420189,0.999041609,0.791145877,0.589965797,0.048423582,0.376392332,0.986144297,0.999542715,0.158903501,0.537639726,0.003918419,0.777010024,0.999749585,0.999926264,0.208779472,0.710167258,0.573449071,0.999704105,0.999998349,0.9999997,0.999960676
CD14 Positive - CD16 Negative Classical Monocyte,0.041491973,0.00056855,0.683878411,0.006332054,0.998791398,0.999255671,0.986144297,0.782657945,0.92790648,0.561029833,0.006555987,0.656734011,0.170591592,0.020238171,0.999992924,7.26E-12,8.72E-05,0.999704105,0.999998349,0.9999997,0.654852705
CD14 Positive Monocyte,0.08845108,0.318140811,0.901937998,0.310267398,0.998791398,0.999255671,0.993933226,0.999542715,0.999785757,0.537639726,0.045391007,0.496623383,0.999749585,0.463757896,0.999992924,1.64E-07,0.11695416,0.999704105,0.999998349,0.9999997,0.947560934
CD1c Positive Myeloid Dendritic Cell,0.103944917,0.999041609,0.683878411,0.340843451,0.998791398,0.999255671,0.740985583,0.999542715,0.999785757,0.587087368,0.6516353,0.868445557,0.999749585,0.999926264,0.999992924,0.001494822,0.644823676,0.999704105,0.999998349,0.9999997,0.999960676
CD34 Negative - CD41 Positive - CD42 Positive Megakaryocyte Cell,0.805201023,0.255412266,0.168319976,0.589965797,0.185493604,0.82516986,0.56897372,0.76837941,0.47528818,0.543278483,0.025900736,0.010475842,1.98E-06,1.04E-06,0.999992924,0.020713331,7.14E-09,0.999704105,0.023758184,0.9999997,0.999960676
CD4 Positive - Alpha Beta T Cell,0.033297941,0.632255162,0.546710769,0.003916967,0.027683933,0.340614332,0.940949696,0.999542715,0.000954433,0.587087368,8.25E-05,0.591476645,0.305398505,0.317127769,0.015241318,0.510391893,0.259768092,0.999704105,0.999998349,0.9999997,0.999960676
CD4 Positive Helper T Cell,0.033297941,0.999041609,0.815922403,0.310267398,0.068732367,0.708798311,0.92209186,0.999542715,0.344544537,0.587087368,0.003918419,0.728286852,0.999749585,0.999926264,0.208779472,0.999966982,0.75207562,0.999704105,0.999998349,0.9999997,0.999960676
CD8 Positive - Alpha Beta T Cell,0.041491973,0.999041609,0.803372171,0.243024691,0.068732367,0.340614332,0.802090969,0.999542715,0.47528818,0.587087368,0.025900736,0.496623383,0.453140768,0.200931495,0.54047522,0.434006938,0.644823676,0.999704105,0.999998349,0.9999997,0.999960676
H1 hESC,0.701391571,0.999041609,0.137367608,0.99999992,0.998791398,0.999255671,0.54747864,0.999542715,0.999785757,0.587087368,0.999998172,0.542399727,0.999749585,0.999926264,0.999992924,0.999966982,0.999559172,0.877246437,0.999998349,0.9999997,0.999960676
H7 hESC,0.041491973,0.999041609,0.683878411,0.589965797,0.998791398,0.999255671,0.775046481,0.999542715,0.999785757,0.587087368,0.999998172,0.496623383,0.999749585,0.999926264,0.999992924,0.999966982,0.644823676,0.999704105,0.999998349,0.9999997,0.999960676
H9,0.878741321,0.885779825,0.002449738,0.99999992,0.998791398,0.999255671,0.573968136,0.999542715,0.999785757,0.626017893,0.999998172,0.496623383,0.999749585,0.999926264,0.999992924,0.999966982,0.999559172,0.999704105,0.999998349,0.9999997,0.999960676
T Cell,0.033297941,0.999041609,0.728509529,0.008793046,0.046190646,0.505917269,0.940949696,0.999542715,0.010348213,0.571229672,0.000462375,0.496623383,0.999749585,0.713337024,0.015241318,0.710167258,0.664379188,0.999704105,0.999998349,0.9999997,0.999960676
T Helper 1 Cell,0.033089062,0.999041609,0.810449966,0.007652165,0.068732367,0.26318844,0.988344036,0.999542715,0.00066308,0.543278483,0.000462375,0.496623383,0.67590225,0.416191038,0.00499365,0.999966982,0.780565112,0.999704105,0.999998349,0.9999997,0.999960676
T Helper 2 Cell,0.041491973,0.999041609,0.815922403,0.0010823,0.053106543,0.025164434,0.940949696,0.999542715,0.00066308,0.537639726,0.003918419,0.784131381,0.999749585,0.966988175,0.0025208,0.999966982,0.780565112,0.999704105,0.999998349,0.9999997,0.999960676
Adipocyte,0.041491973,0.999041609,0.683878411,0.589965797,0.998791398,0.999255671,0.753856299,0.999542715,0.999785757,0.587087368,0.999998172,0.496623383,0.999749585,0.999926264,0.999992924,0.999966982,0.644823676,0.999704105,0.999998349,0.9999997,0.999960676
Adrenal Gland,0.041491973,0.999041609,0.683878411,0.589965797,0.998791398,0.999255671,0.764462418,0.999542715,0.999785757,0.590101068,0.999998172,0.496623383,0.999749585,0.999926264,0.999992924,0.999966982,0.644823676,0.999704105,0.999998349,0.9999997,0.999960676
Alternatively Activated Macrophage,0.041491973,0.999041609,0.683878411,0.589965797,0.998791398,0.999255671,0.87022045,0.999542715,0.999785757,0.587087368,0.999998172,0.496623383,0.999749585,0.999926264,0.999992924,0.999966982,0.644823676,0.999704105,0.999998349,0.9999997,0.999960676
Amniotic Epithelial Cell,0.041528606,0.999041609,0.683878411,0.589965797,0.998791398,0.999255671,0.728432667,0.999542715,0.999785757,0.587087368,0.999998172,0.496623383,0.999749585,0.999926264,0.999992924,0.999966982,0.644823676,0.999704105,0.999998349,0.9999997,0.999960676
Amniotic Stem Cell,0.041491973,0.999041609,0.683878411,0.589965797,0.998791398,0.999255671,0.740985583,0.999542715,0.999785757,0.587087368,0.999998172,0.496623383,0.999749585,0.999926264,0.999992924,0.999966982,0.644823676,0.999704105,0.999998349,0.9999997,0.999960676
