Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD8.Effector	3.7839364734192584e-08	2.9475814168503185e-08	0.09961597866951277
CD4.Memory	8.624475687735044e-08	7.870891837232519e-08	0.13659560031578988
DN.T	4.4676770224006065e-08	5.332302959028757e-08	0.20105710852615116
NK.CD56Dim	3.696298626386626e-08	4.456816240667442e-08	0.203450776285644
CD4.Naive	2.3152116413978196e-08	4.05581279474807e-08	0.2840547660959559
pDC	2.7582267118885886e-08	6.556827708892711e-08	0.336999928842883
DC	1.805258682702295e-08	7.375132073193117e-08	0.40331476287568757
NK.CD56bright	9.55434983405452e-09	6.545121544883715e-08	0.4419699067694757
CD8.Naive	5.534563934085404e-09	3.851739748664552e-08	0.44287264338328525
CD14.Mono	2.0018520907923977e-09	3.412950396849057e-08	0.4766136141448262
pro-B	-2.3317331047825485e-08	4.618285137317501e-08	0.6931824925154684
CD16.Mono	-3.388220159711203e-08	5.481886708612695e-08	0.7317372318037192
pre-B	-3.8825846880297927e-08	4.073236922803177e-08	0.8297540879589907
