Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DC	2.0948144401287136e-08	8.516992870383687e-08	0.4028577402688571
CD16.Mono	7.284528869255688e-09	4.684802372231517e-08	0.4382164275741178
NK.CD56Dim	-2.6844190646217674e-08	4.142431221498999e-08	0.7415171765703502
DN.T	-3.218528872442165e-08	4.5580362040631083e-08	0.7599438118843467
CD4.Memory	-3.8978980045820255e-08	4.550796171833065e-08	0.8041479338663797
CD8.Effector	-4.04360188321133e-08	4.501498117113069e-08	0.815481626175862
pre-B	-6.441280440134453e-08	5.661894890744279e-08	0.872367618996547
CD8.Naive	-4.489465671080398e-08	3.6790141374013376e-08	0.8888225980790077
CD4.Naive	-4.2946424674640675e-08	3.2992398944002076e-08	0.9034916550510443
CD14.Mono	-5.383562394851324e-08	3.3118890451189846e-08	0.9479747564315886
pro-B	-8.334134035513068e-08	4.957312729941005e-08	0.9536360022900646
pDC	-1.3130027543907224e-07	6.974384413123396e-08	0.9701232020216084
NK.CD56bright	-1.1565301167664135e-07	5.502445777763202e-08	0.9822166758085095
