Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD4.Naive	7.924217387401696e-08	5.363276660776471e-08	0.06977142544067183
DN.T	5.511364495374468e-08	7.246188368320018e-08	0.22345157095870433
DC	6.799276281003197e-08	1.1483317353776318e-07	0.27689169463569496
CD4.Memory	2.323782338178704e-08	8.716472416812665e-08	0.39488986796530756
pre-B	6.258824649069179e-09	5.888395143887593e-08	0.4576757996007493
pro-B	5.372536662582687e-09	6.695283155171228e-08	0.4680217545317191
CD8.Effector	4.714753320545892e-10	4.7960054249957766e-08	0.4960782276506927
CD8.Naive	-1.998816633045801e-08	6.169432071324325e-08	0.6270261136399018
CD14.Mono	-2.4957564413278212e-08	4.366161193775413e-08	0.7162080576146717
pDC	-9.913376433421773e-08	7.75078949397551e-08	0.8995541224035111
CD16.Mono	-1.0699960157693438e-07	6.611343887706848e-08	0.9472144147018028
NK.CD56Dim	-7.865882060517343e-08	4.8012333035408264e-08	0.9493209038437324
NK.CD56bright	-1.576440419035826e-07	9.324719955051142e-08	0.954543722099917
