Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD4.Memory	1.1640360193135057e-07	6.842761647624685e-08	0.04446020746387141
CD8.Effector	6.585524607947711e-08	4.67144698976034e-08	0.07930826837436367
CD4.Naive	8.407564988053433e-08	6.059089759170895e-08	0.08263014375101563
DC	7.435227185950213e-08	7.626585380677851e-08	0.16480268575544527
NK.CD56Dim	4.6782483279952535e-08	5.37063100974105e-08	0.19185528414389602
CD8.Naive	2.742421275299881e-08	5.1033457000024684e-08	0.2955035681020735
DN.T	4.559375728447741e-08	9.863474154012665e-08	0.3219515779782859
pDC	2.5557206625468046e-08	7.170005772420192e-08	0.3607532517571773
pro-B	1.6494383678547412e-08	4.754145025443885e-08	0.36431540900098847
CD16.Mono	5.934143726961753e-09	5.574936655829318e-08	0.45761533996518333
CD14.Mono	-1.6536039400984248e-08	3.595393192521757e-08	0.6772142464040027
pre-B	-3.4061302079217876e-08	4.4086578376980504e-08	0.7801205058023721
NK.CD56bright	-5.251348844419535e-08	5.670561240988923e-08	0.8227957571383708
