Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pDC	1.5982342861474833e-07	8.574413002909565e-08	0.03116382467943122
CD4.Memory	1.0078451741638199e-07	7.961505698742325e-08	0.10277485522838681
CD16.Mono	8.413455560537646e-08	7.613617603653279e-08	0.13456818169412121
CD14.Mono	4.238186641845757e-08	3.8470576253777435e-08	0.1353026572449587
NK.CD56bright	6.957154138597138e-08	7.413971276036319e-08	0.17402347938379398
DC	7.869510673732296e-08	9.231815953926207e-08	0.19698672198732564
CD4.Naive	2.6230355085024345e-08	4.576221116708872e-08	0.28325866882513906
pre-B	2.1239152051642422e-08	4.4712585547028384e-08	0.31738811519584853
CD8.Naive	8.822238856507907e-09	4.116071722679786e-08	0.41514237759704326
NK.CD56Dim	-2.8170409686269745e-09	3.6792407125584477e-08	0.5305155261958758
DN.T	-2.234077412419266e-08	5.456563309527636e-08	0.6588877141588775
CD8.Effector	-1.543966175052754e-08	3.391806521771845e-08	0.6755190001485029
pro-B	-2.6207816440760694e-08	4.556413267447749e-08	0.7174169869001346
