Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD4.Naive	4.79746772648352e-08	5.1798338351246286e-08	0.17717575953687675
CD14.Mono	5.356012235954705e-09	3.4400163440918063e-08	0.4381358165484574
NK.CD56bright	7.34161269325729e-09	6.834919801883929e-08	0.4572305531052353
DN.T	3.57919731296026e-09	5.2857718125168506e-08	0.4730067291514296
NK.CD56Dim	2.34484621471096e-09	3.755036829419797e-08	0.47510408722765934
CD8.Naive	1.5542096703504745e-09	3.635276947274001e-08	0.48294899895421806
CD8.Effector	-2.7829076876035764e-09	3.237425355018173e-08	0.5342510994740902
pDC	-8.42633585825603e-09	5.20372631701853e-08	0.5643190708732932
pro-B	-1.834967957751389e-08	4.7517557831946526e-08	0.6503132454930695
pre-B	-1.9075085514365103e-08	4.225218054277278e-08	0.6741702604745499
CD16.Mono	-9.729797860170825e-08	4.440203092330347e-08	0.9857847988041691
CD4.Memory	-9.91164073994424e-08	4.437043496698109e-08	0.987253165294532
DC	-1.7948994407865382e-07	6.816323789182404e-08	0.9957712316610983
