Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD8.Naive	1.251763891506534e-07	5.928798496208665e-08	0.01737205981656727
NK.CD56Dim	8.856038491041745e-08	4.6925418002624074e-08	0.02956279568313232
pro-B	8.378449624266635e-08	4.580035419689477e-08	0.03367422026208782
NK.CD56bright	2.207371164790411e-07	1.210200514355405e-07	0.03407819566523285
CD14.Mono	4.6315048507159836e-08	3.1040866799772847e-08	0.06784080993475915
CD8.Effector	5.986155533069292e-08	4.187665379636798e-08	0.07643413270392138
pre-B	7.267362601311333e-08	5.1518952986679495e-08	0.07917845853602751
CD4.Naive	3.9261370656232286e-08	3.8719766415905754e-08	0.15529428754929453
DN.T	4.5337799910392624e-08	5.384712735000665e-08	0.1999016760283523
CD4.Memory	4.6187908214070247e-08	6.699371020216039e-08	0.24527431443726733
pDC	4.519035788120035e-08	7.150228376769953e-08	0.26368925975701474
CD16.Mono	1.0003085529442585e-08	6.78968662674101e-08	0.44143670580882477
DC	-4.0724500113082527e-08	8.01268844360354e-08	0.6943610335531643
