Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pro-B	3.786871060759882e-07	4.1804570395854075e-07	0.18250736952686342
pDC	3.480545845323981e-07	4.04066411232372e-07	0.19451448971387186
pre-B	2.8306394743728655e-07	3.513704359623345e-07	0.21023682500136542
CD16.Mono	8.540592145511419e-08	2.3569728622189968e-07	0.3585436486721615
DC	1.323207939692666e-07	4.1906457174455637e-07	0.37609508958167626
CD14.Mono	-6.883007134556467e-08	1.3706265903473782e-07	0.6922294044148052
CD4.Memory	-3.182158695386758e-07	2.7707827609248873e-07	0.8746125421734815
NK.CD56Dim	-1.7981797697747244e-07	1.528171238607512e-07	0.8803398412417325
CD4.Naive	-1.8843901729457457e-07	1.575369131480719e-07	0.8841825195011467
CD8.Naive	-2.9028867579901147e-07	2.235701030695523e-07	0.9029290759679671
DN.T	-3.870211729621486e-07	2.6884469364557457e-07	0.9250056735720507
NK.CD56bright	-4.227139677277985e-07	2.2451655078651316e-07	0.9701345120826246
CD8.Effector	-2.645289795435275e-07	1.3282479604847382e-07	0.9767904992998985
