Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD8.Effector	6.705206117800194e-08	3.433926693154845e-08	0.02543141884091694
NK.CD56Dim	8.069294945000287e-08	4.189658065254067e-08	0.02705198558474007
CD8.Naive	6.108958319279236e-08	4.1611681333772866e-08	0.07104024794249453
NK.CD56bright	3.4500064271777766e-08	6.774808253245969e-08	0.30529184538535736
CD16.Mono	4.1329528747910474e-08	8.38143624985701e-08	0.31096815575356285
CD14.Mono	1.667876595044909e-08	3.714284540600378e-08	0.326700015666351
DN.T	5.9081732284271185e-09	4.981352810627583e-08	0.4527938360099141
pre-B	-9.842094290893852e-09	4.4909853726203075e-08	0.5867342644549292
CD4.Naive	-1.3537012863072078e-08	3.742176954012935e-08	0.6412274522155779
DC	-2.8854698120923534e-08	6.846616345479898e-08	0.6632847887128883
pDC	-2.6045091233854565e-08	6.075464435077487e-08	0.6659266751511204
CD4.Memory	-3.156161593326691e-08	4.860750689405397e-08	0.7419328205544722
pro-B	-3.231556212599085e-08	4.1536491148666964e-08	0.7817167140772439
