Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pDC	9.588678721202334e-08	8.402373920141518e-08	0.12689608535111685
DC	8.493299081537566e-08	8.840663398119304e-08	0.16834941764302241
pre-B	5.272411208320135e-08	5.499984523744596e-08	0.16887437162934682
CD4.Naive	3.044455678331382e-08	4.192035506957785e-08	0.23384350155743228
DN.T	2.5662905278833772e-08	5.975370336256523e-08	0.33378767442266555
CD16.Mono	2.7726245998739276e-08	6.701516061526763e-08	0.33953557937999124
NK.CD56Dim	5.889408356202714e-09	3.9314280082945464e-08	0.44045990825025927
NK.CD56bright	4.216735407732608e-09	5.117455841358326e-08	0.4671646925487576
CD8.Effector	2.682612418891035e-09	3.923161182652528e-08	0.472742029662694
CD4.Memory	2.145781321169844e-10	5.532073348331141e-08	0.49845258605034287
CD8.Naive	-4.0123608151173193e-10	4.6556484139160716e-08	0.5034381474202712
CD14.Mono	-1.3825055668586823e-08	3.3483721615290005e-08	0.6601559786190535
pro-B	-3.0015215804995046e-08	4.999638859929674e-08	0.7258627250346683
