Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pro-B	7.568777052277307e-08	4.456145269452375e-08	0.04470641350939266
pDC	1.0354862185968152e-07	6.949033283862819e-08	0.06809693505422013
pre-B	5.108953288923317e-08	4.575060546986001e-08	0.13206209534953162
DC	1.702099312722942e-08	6.762449483051037e-08	0.4006370055856079
CD4.Memory	-5.457211506672688e-09	5.3793443821211257e-08	0.5404023925288199
DN.T	-1.3942018642264617e-08	4.76526278100268e-08	0.6150768970215741
CD4.Naive	-1.1929283444401733e-08	3.61632899701561e-08	0.6292519379152371
NK.CD56bright	-5.520155777363119e-08	5.2952195273134425e-08	0.8514051987753122
CD14.Mono	-5.2021652856943645e-08	3.451389051013141e-08	0.9341289009294894
CD16.Mono	-9.22775853756034e-08	4.875243716828858e-08	0.9708063619896096
CD8.Effector	-5.591737703822472e-08	2.726189790421903e-08	0.979872285047297
NK.CD56Dim	-6.917922177823146e-08	3.194714166824267e-08	0.9848225222083696
CD8.Naive	-9.759449168478892e-08	3.4853043393919116e-08	0.9974462252284919
