Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NK.CD56bright	5.4001621359385006e-08	7.059360373661431e-08	0.22214625527844417
CD8.Naive	2.2361235566342855e-08	4.4524851555025173e-08	0.30775666741856667
CD14.Mono	1.8190493886578703e-08	3.915602476224176e-08	0.32112172715505494
CD16.Mono	-2.77267736416446e-08	8.83388264512811e-08	0.6231895365569061
CD4.Memory	-2.7886389344132523e-08	6.785826926456495e-08	0.6594455823904216
NK.CD56Dim	-2.6994922456323502e-08	4.070254791440347e-08	0.7464065730675726
CD8.Effector	-2.569626829107396e-08	3.680590313764775e-08	0.7574602325700002
DC	-6.288531346528149e-08	8.519113424690499e-08	0.7697936183571169
pDC	-5.0087706701383174e-08	6.166971519623242e-08	0.791659532255791
pre-B	-5.365602815969045e-08	4.4806197340001736e-08	0.8844467741056263
pro-B	-6.281879705328441e-08	4.6074633703279207e-08	0.9136239520967244
CD4.Naive	-5.5373381509016854e-08	3.89823651919334e-08	0.9222649295179289
DN.T	-1.0650279260505747e-07	4.502167906300228e-08	0.9909992940844509
