Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pDC	2.960386688107291e-07	2.677049469403491e-07	0.13439802640417953
CD8.Effector	9.877414708509547e-08	1.2409405789148052e-07	0.21302707872569782
CD14.Mono	1.0867616131594583e-07	2.1339374857896645e-07	0.30527964090231163
NK.CD56Dim	4.636938190949355e-09	1.342959825121843e-07	0.4862281568784844
DC	-7.61230307287276e-09	2.469085039148982e-07	0.5122976263187048
CD4.Memory	-1.2265553163283468e-08	2.0299822931805143e-07	0.5240902199270113
NK.CD56bright	-7.819006891924737e-08	2.5456126901761635e-07	0.6206377541196887
CD8.Naive	-5.741481937553606e-08	1.3949826498524895e-07	0.6596766777845537
CD4.Naive	-7.454332099674916e-08	1.540708754154677e-07	0.6857449176978988
DN.T	-1.1514621103350026e-07	1.9995779436236045e-07	0.7176425837124594
CD16.Mono	-1.3795758452233372e-07	1.7280350467196907e-07	0.7876661381196535
pro-B	-1.1595586619682364e-07	1.4067104645788625e-07	0.7951168997037026
pre-B	-1.6541148423759047e-07	1.4525072065696328e-07	0.8726066567517026
