Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NK.CD56Dim	2.5901263964146743e-08	3.5794011643190296e-08	0.23464951889969765
DC	8.467137431567224e-08	1.2251057618567682e-07	0.24474028366123884
pDC	3.4276957570142575e-08	5.8999941264786175e-08	0.28063169752764916
CD8.Effector	1.4503523086854157e-08	3.1235901424622514e-08	0.3212084533974642
CD4.Memory	1.8203724642735248e-08	6.320420395004724e-08	0.38666783515399544
pre-B	1.3830695482720507e-08	5.334384323498599e-08	0.39771174669927606
CD8.Naive	1.687360017513822e-10	4.15325401033283e-08	0.4983792048361885
pro-B	-9.570838579725232e-09	4.6460819448453316e-08	0.5816037858688669
CD14.Mono	-1.671447062926898e-08	3.9764057388141234e-08	0.6628818829337348
CD16.Mono	-4.305720918985925e-08	6.363186599230074e-08	0.7506895022821558
NK.CD56bright	-4.2054620783153454e-08	4.926659798586682e-08	0.8033403425070176
CD4.Naive	-8.141793983970088e-08	3.364738485498723e-08	0.9922342067865009
DN.T	-1.260621595792552e-07	4.204479179966884e-08	0.9986424702169784
