Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NK.CD56bright	1.455558482279542e-07	1.1293176728479346e-07	0.09871936215124721
CD16.Mono	4.237807043473575e-08	5.908403951623517e-08	0.23660970138638643
pDC	3.302341252406766e-08	9.087604632395729e-08	0.3581569249189512
CD14.Mono	-1.823368539016679e-09	3.363777767350893e-08	0.5216144698781758
CD4.Naive	-3.895008525694315e-09	4.477922937934724e-08	0.5346572817767409
CD8.Naive	-1.696910764871818e-08	4.940065102878537e-08	0.6343887079332919
NK.CD56Dim	-2.3476152506537773e-08	4.822711347855359e-08	0.6867940399686436
CD4.Memory	-3.192281498336756e-08	5.640870370937103e-08	0.7142759257882496
CD8.Effector	-2.550503324990754e-08	3.5320800837794384e-08	0.7648824823752942
DN.T	-3.8149501688770655e-08	5.215066481675147e-08	0.7677706515904257
pre-B	-3.2979564947047e-08	4.078387454856065e-08	0.7906395286223626
DC	-1.1102811015486017e-07	8.186215344855861e-08	0.9124951628825282
pro-B	-5.396113980896757e-08	3.9097901532856756e-08	0.9162304406434898
