Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pre-B	5.313836122829265e-08	5.450459647410695e-08	0.16479660454842238
CD16.Mono	4.814481170029297e-08	5.689349692004879e-08	0.19871306867944877
pro-B	4.3094303458363405e-08	5.5172470095164996e-08	0.2173767066469114
CD4.Naive	2.8765123982626662e-08	4.215417933943666e-08	0.2474996862213919
DC	1.820092297996325e-08	8.222942809886842e-08	0.41241261603145285
DN.T	-3.137165914637395e-09	4.76020616142775e-08	0.5262728690549935
CD14.Mono	-7.156583814652432e-09	2.9671926011948285e-08	0.5952962259514194
NK.CD56Dim	-2.803288712928787e-08	4.2324152411614904e-08	0.7461226302341889
CD8.Effector	-4.385177182377605e-08	3.0236824573563144e-08	0.9265093576288974
CD4.Memory	-6.789225729696528e-08	3.923110699806726e-08	0.9582359399132799
NK.CD56bright	-1.2202217544173655e-07	5.606586768302287e-08	0.9852375986050668
CD8.Naive	-8.828792517656691e-08	3.658017588845264e-08	0.9921009260958953
pDC	-1.432171719836167e-07	5.280586530209709e-08	0.9966575344389929
