Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pro-B	6.454482411104829e-08	4.958378984597622e-08	0.09650394551454688
pre-B	6.17555962782187e-08	4.840371217900069e-08	0.10100529667271091
CD4.Memory	7.696658725806386e-08	6.207626946077724e-08	0.10751149342177918
DC	5.824048977667502e-08	7.58826053951176e-08	0.22138983556026592
CD8.Effector	1.706771755198702e-08	3.1918601188401315e-08	0.2964195441634277
CD8.Naive	1.720033870436821e-08	4.7899008639466266e-08	0.35976166583929825
CD4.Naive	8.435143592484899e-09	3.9365585676905506e-08	0.41516548689784805
DN.T	-8.333425106134819e-10	5.4049869513415454e-08	0.5061506603689105
NK.CD56bright	-4.364210595089762e-09	8.082308005057747e-08	0.5215312560231717
CD14.Mono	-7.710782482778312e-09	3.343733129426092e-08	0.5911887716853828
NK.CD56Dim	-1.222051252829542e-08	4.043308814401223e-08	0.6187655937124323
CD16.Mono	-2.4907088349347686e-08	5.872555627248619e-08	0.6642633671133269
pDC	-6.926694895881384e-08	5.768969297447297e-08	0.885062619734462
