Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD8.Naive	1.0829509198481208e-07	5.220545233120312e-08	0.01902099830558282
pDC	6.740014570448146e-08	8.689731906160094e-08	0.21898381523023058
pro-B	3.282333573470651e-08	4.8794192566395766e-08	0.2505724588260234
NK.CD56bright	2.5984481793969007e-08	5.677614035889515e-08	0.32359638175279015
DN.T	3.1817226682918466e-08	7.415881186659348e-08	0.33394641963037497
NK.CD56Dim	5.9911241291093555e-09	3.609927783539451e-08	0.4340932554860224
pre-B	3.0873391784990848e-09	4.5677071763692885e-08	0.473055782343443
CD4.Memory	1.7763300870773068e-10	5.889553203118271e-08	0.4987967642419586
DC	-2.313893780953176e-10	6.366667144807775e-08	0.5014499077906794
CD8.Effector	-1.151596310561716e-08	2.8868600837140933e-08	0.655020106294291
CD4.Naive	-2.784084617709904e-08	4.880634776678011e-08	0.7158086322093962
CD14.Mono	-2.1089916581403887e-08	3.3704082865322885e-08	0.7342565120175908
CD16.Mono	-5.587087482411909e-08	5.969264570075181e-08	0.8253571891191186
