Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD4.Memory	3.230088869389504e-08	4.869491260456737e-08	0.25355900651028973
NK.CD56Dim	2.2478572715152278e-08	4.211580995113095e-08	0.2967633415087822
DN.T	2.2007149378701242e-08	5.107268977267144e-08	0.3332710588675233
NK.CD56bright	3.660930010392458e-08	8.584801422301042e-08	0.3348924717941298
CD8.Naive	-8.819026329775962e-09	3.839156320490112e-08	0.590842453680387
CD4.Naive	-1.0598796161682182e-08	3.818628241414826e-08	0.6093230355799724
CD8.Effector	-1.242173052217046e-08	3.173958008270226e-08	0.6522359183237073
pro-B	-2.066753340227969e-08	4.131386229942465e-08	0.6915528049455832
CD16.Mono	-2.8303525811066963e-08	4.431103581240399e-08	0.7385061211167656
CD14.Mono	-2.3920259991143085e-08	3.317099060087189e-08	0.7645821125202672
pre-B	-4.232835475095596e-08	3.9982171516873565e-08	0.8551273979013769
DC	-6.302729795026586e-08	5.785131110678654e-08	0.8620267757714959
pDC	-9.234178673392662e-08	5.32953210784173e-08	0.9584204655383477
