Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NK.CD56bright	2.0388555443404231e-07	1.394636414252588e-07	0.07188071419935409
CD8.Effector	5.2129874404181574e-08	4.3222277877014255e-08	0.11389176403325224
NK.CD56Dim	5.838616838293049e-08	5.173358640540594e-08	0.1295347624997923
CD4.Naive	3.835046954599679e-08	3.8779309224789927e-08	0.16134587395867755
CD8.Naive	2.6910117257607827e-08	6.893501493762667e-08	0.3481317228580565
DN.T	1.5194725208783612e-08	4.891663627011326e-08	0.37804289807531605
DC	1.3665613732156288e-08	7.338939222924391e-08	0.4261412431649716
pDC	-9.326422513445031e-09	7.233048612313654e-08	0.5512981463710138
CD4.Memory	-1.3700874868809464e-08	4.546602786606514e-08	0.6184235699391801
CD16.Mono	-3.925869564255007e-08	5.969092114831292e-08	0.7446344139348081
pre-B	-3.671693881048701e-08	5.146649971103287e-08	0.7622052982657728
CD14.Mono	-2.623968965818534e-08	3.243790661033806e-08	0.790719579746102
pro-B	-6.334929206178397e-08	4.859831955581988e-08	0.9038027946388143
