Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NK.CD56bright	1.4499153273634954e-07	9.665270612617582e-08	0.06679048795034456
pre-B	7.349208420460588e-08	5.1625956128587074e-08	0.07728851728013045
CD16.Mono	6.979206078292265e-08	7.614101472125749e-08	0.17967198838206438
pro-B	4.627917848524841e-08	5.831071496358742e-08	0.21369521606589598
pDC	5.443591083203888e-08	8.148032368389684e-08	0.25203916365924195
CD14.Mono	2.1179509466014228e-08	3.7422781201359554e-08	0.2857131001159686
DC	1.2721084095153551e-08	7.525771352712954e-08	0.4328850966713179
NK.CD56Dim	-2.5638143663387747e-08	4.0049181224023993e-08	0.7389678161621449
CD4.Memory	-3.897466491710206e-08	5.248749054207898e-08	0.7711233699065793
CD8.Effector	-2.9342924320533936e-08	2.897008334027584e-08	0.8444388372879861
CD4.Naive	-5.04348579656942e-08	3.897387623190142e-08	0.9021790859013848
CD8.Naive	-5.636911281901842e-08	4.245493819794253e-08	0.9078679662434515
DN.T	-8.341944125288349e-08	4.91658122969564e-08	0.9551229334081055
