Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pro-B	2.3084851078823872e-07	1.5656119179745547e-07	0.07017433932809615
pre-B	1.9978218144407235e-07	1.618794701825605e-07	0.10857508015704354
CD4.Memory	1.9647247334520416e-07	2.3650243166464143e-07	0.20305973264715688
CD4.Naive	4.7827794199444585e-08	1.271327553650122e-07	0.35338278731179196
CD16.Mono	-2.3449328385168836e-08	2.0816919612322644e-07	0.5448442045032275
NK.CD56Dim	-1.5210680629882774e-08	1.3453760255094323e-07	0.5450080919126166
CD8.Naive	-3.328044337169139e-08	1.2974557965850926e-07	0.6012196990033178
pDC	-6.782252652973296e-08	1.9432955183286514e-07	0.6364582676430465
CD8.Effector	-3.521457348356564e-08	9.159354064094055e-08	0.6496833382745766
DC	-8.961790777249224e-08	2.251845317984646e-07	0.6546758463884005
NK.CD56bright	-1.309315080922454e-07	1.611805484003027e-07	0.7916983392588877
CD14.Mono	-7.807606116836694e-08	7.41121147752013e-08	0.85394080249429
DN.T	-1.8432742557756724e-07	9.929122578951861e-08	0.968304008427322
