Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD14.Mono	1.0432999164934015e-06	4.605532096979756e-07	0.011746556788233534
CD16.Mono	1.0273380375392226e-06	8.799506096680076e-07	0.1215052401228226
DC	1.5882422133469877e-06	1.8316324668425668e-06	0.19293857007151882
NK.CD56bright	1.162463900055065e-06	1.593175450100186e-06	0.23280141684139233
CD4.Naive	2.3911469285998954e-07	5.36838231315585e-07	0.3280106826710546
pro-B	3.341859482173362e-07	8.400405972002759e-07	0.3453809989655915
pre-B	3.089925947365491e-07	9.480068853402845e-07	0.3722351826460627
DN.T	-3.475420919796141e-07	7.165989102603811e-07	0.6861576798554692
CD4.Memory	-4.474412094145422e-07	5.852032217665947e-07	0.7777424822427206
NK.CD56Dim	-4.689487361723888e-07	5.409381038486132e-07	0.8070064068102273
CD8.Effector	-5.283522191746961e-07	4.3797747101213104e-07	0.8861578795527959
CD8.Naive	-9.114477917927033e-07	6.135165490724552e-07	0.9313091631313506
pDC	-1.4832068535636193e-06	8.351370301508119e-07	0.9621338856252392
