Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD4.Naive	7.298064526097751e-08	4.724949249334267e-08	0.06122388161449617
CD8.Naive	6.819314898423646e-08	4.946927190438635e-08	0.08402523964162822
DC	8.291957912129317e-08	7.788144202299026e-08	0.1435081573237909
pro-B	5.015011892999762e-08	5.0606933851129125e-08	0.16084931530910862
DN.T	5.4437616711660285e-08	6.830776048748244e-08	0.2127411108887069
pre-B	3.8376129197908504e-08	4.825903768276001e-08	0.21324531728527796
CD4.Memory	4.2536927123172565e-08	7.362392593259679e-08	0.2817132304115706
NK.CD56bright	3.956113800987103e-08	8.958907515126647e-08	0.3293949872919325
pDC	2.6523033942125054e-08	7.261400895717347e-08	0.3574584561419998
NK.CD56Dim	7.106217568289791e-09	3.6339297145528463e-08	0.4224804668867298
CD8.Effector	2.3794020858955342e-09	3.631411965227363e-08	0.47387888460138367
CD14.Mono	-2.166880024349152e-08	3.099329866810709e-08	0.7577691944763343
CD16.Mono	-5.200619923780642e-08	5.853963589298785e-08	0.8128352891551229
