Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD14.Mono	4.827595916753673e-07	1.9432892839179935e-07	0.006491423678575745
pre-B	4.1428731828159986e-07	2.849736876960025e-07	0.07300449659049728
pro-B	2.972693565570913e-07	3.2311347443184195e-07	0.17878236866510794
CD4.Naive	2.1729057085518197e-07	2.4409261259485605e-07	0.186679992301927
NK.CD56bright	3.500666875946615e-07	4.068560857223376e-07	0.19477907076298828
DC	3.3658772950328537e-07	4.369773395992767e-07	0.2205717781532699
CD8.Naive	1.736249342901433e-07	2.5769732841451064e-07	0.25023345691338933
CD8.Effector	9.959417693114492e-08	2.0687261907546277e-07	0.3151063321938158
CD16.Mono	1.40444790104034e-07	4.7505639930733493e-07	0.38375322184151495
CD4.Memory	7.394097576075219e-08	3.642605578542501e-07	0.41957171908437935
NK.CD56Dim	-2.8287875891551904e-09	2.0542831967927913e-07	0.5054933385504667
pDC	-1.3549221782300675e-07	3.826291879781222e-07	0.6383711845279662
DN.T	-3.3873136936111334e-07	2.5586712690798806e-07	0.9072246529210822
