Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD4.Naive	4.1453222905780124e-07	1.6052968313044737e-07	0.004907527867988549
DC	8.712625078732753e-07	3.3996900448264094e-07	0.005192034378660602
pro-B	5.485884136522315e-07	2.1495994729962756e-07	0.005354566020044687
CD4.Memory	7.081753533498984e-07	2.849705372233921e-07	0.006476066991470697
pre-B	5.080559940392041e-07	2.0904149460514569e-07	0.007540929842054329
CD8.Effector	2.577469868929266e-07	1.141437555803592e-07	0.011969993394671296
DN.T	5.154585435858451e-07	2.3037536514122082e-07	0.012627737441116917
CD8.Naive	3.944527208661635e-07	2.0441194423854835e-07	0.026822315644166584
NK.CD56Dim	2.0138375104195224e-07	1.2895462140451586e-07	0.05918361740943347
NK.CD56bright	3.7147144074004984e-07	3.107675455958251e-07	0.1159780118763925
pDC	6.656594279102324e-08	1.7922177240234365e-07	0.35516362872057716
CD16.Mono	-1.7670193861720912e-07	1.2047892666460508e-07	0.9287660723337294
CD14.Mono	-1.46162462926217e-07	8.115478366550796e-08	0.964151179484549
