Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pDC	1.410881383613823e-07	5.905864790051959e-08	0.008448308080149632
NK.CD56Dim	4.870640335922955e-08	3.9767593196182395e-08	0.11032976932452837
CD8.Effector	3.8388194175437075e-08	3.1839092902338985e-08	0.11396780481380331
CD4.Naive	3.4574313871773045e-08	4.1923433455876355e-08	0.20477057099570556
pro-B	3.179989112766076e-08	4.216109009986517e-08	0.2253503505675653
NK.CD56bright	9.359741247324414e-08	1.3344334121681037e-07	0.24152611969420912
pre-B	2.5084065123683396e-08	4.263288949378567e-08	0.27814078908916406
CD8.Naive	1.7435368323149024e-08	3.816321606943676e-08	0.3238846945811813
CD4.Memory	5.5487683866944354e-09	4.4657362676041914e-08	0.4505578599773893
DC	-2.6604875671198806e-08	7.714869482083207e-08	0.6348971516591243
DN.T	-1.9804202734590652e-08	4.3796277101263764e-08	0.674433649728432
CD14.Mono	-4.4713218258088624e-08	3.2491827741110966e-08	0.915610445568801
CD16.Mono	-1.0716940147264455e-07	7.626340611377499e-08	0.9200270119121584
