Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pre-B	6.224668325097645e-08	4.7747892077062764e-08	0.09617595879449164
pro-B	5.3290085782782256e-08	5.471993322232557e-08	0.16506061623951013
CD4.Memory	1.0481966383744186e-07	1.1427518585942953e-07	0.1795041074693
CD14.Mono	2.149506524178974e-08	4.053374628092756e-08	0.2979518058378663
CD4.Naive	3.925419725745931e-08	7.552347739425306e-08	0.3016149018800307
DN.T	5.497217701559401e-08	1.0754082160018875e-07	0.30461426936103525
CD8.Naive	6.8015724054385575e-09	5.590986302508888e-08	0.45158713224522584
NK.CD56bright	-6.0188419996162685e-09	7.004194620411299e-08	0.5342397490571694
NK.CD56Dim	-8.470472896622806e-09	4.523996968667622e-08	0.5742615235322421
CD8.Effector	-1.0437835051414744e-08	4.142859503988088e-08	0.5994592163494495
pDC	-2.9341048858880536e-08	8.075615264555448e-08	0.6418204183662335
DC	-4.336785261596886e-08	8.652336272982152e-08	0.6918943416488228
CD16.Mono	-9.400402451865138e-08	5.728888850330264e-08	0.9495885339524762
