Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NK.CD56Dim	8.827919213454956e-08	3.955884081555243e-08	0.012820970899067094
CD8.Effector	6.923429896230961e-08	3.8487016702972724e-08	0.03601724081661512
CD8.Naive	5.3368644554682826e-08	5.121640125988787e-08	0.14870061434100418
CD14.Mono	3.6746537118826705e-08	3.751134258660907e-08	0.16363899900261286
CD4.Memory	5.8117322881390735e-08	6.740900256097422e-08	0.19429983181933413
DN.T	4.5981738843867496e-08	5.979575117083037e-08	0.22095258130681955
pro-B	1.707829332501071e-08	4.5609452298425556e-08	0.3540361291122718
CD16.Mono	1.8896094359404813e-09	5.147971810837936e-08	0.4853597517524563
pre-B	3.1303566642454575e-10	4.623351229583368e-08	0.49729888121745497
CD4.Naive	-1.1975599491408987e-08	3.718418702423104e-08	0.626296993178787
DC	-2.549556331463114e-08	6.528775329979852e-08	0.651920511075847
pDC	-6.194136276539292e-08	5.713867669836005e-08	0.8608293843451773
NK.CD56bright	-8.204289959948456e-08	5.50161739885628e-08	0.9320521364725021
