Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD16.Mono	1.282261482140325e-07	8.733210348997389e-08	0.07101693968191328
NK.CD56bright	1.8118462354473377e-07	1.3152215098604243e-07	0.08416375299200818
CD4.Naive	3.705591317597676e-08	4.4597365537494e-08	0.20301530157211672
CD8.Effector	2.4811546460852923e-08	4.4526634051239506e-08	0.288685376404304
DN.T	1.2585421928727738e-08	6.407683904149089e-08	0.4221440854477089
DC	-1.2647798878731395e-08	9.919089685765344e-08	0.5507314913589159
NK.CD56Dim	-9.51008904616446e-09	4.3385058058629675e-08	0.5867536292054125
CD4.Memory	-1.8537317096145784e-08	5.533544647293175e-08	0.6311870651530825
pDC	-3.0594786903886263e-08	7.634184339895581e-08	0.6557017277887418
CD8.Naive	-2.9552888820106528e-08	3.889441398642707e-08	0.7763199457784316
CD14.Mono	-3.4307732300791365e-08	3.5279750052118475e-08	0.8345862087504672
pre-B	-8.741536185652742e-08	5.1373977415060004e-08	0.9555800676558738
pro-B	-9.052783175389074e-08	4.6700584972070074e-08	0.9737172404650465
