Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD4.Memory	6.28746728998254e-07	4.003422237600614e-07	0.05814672688400661
CD8.Naive	4.028452819777329e-07	4.7059232228861577e-07	0.1959881620179606
DC	2.6917029906553403e-07	3.379411233788068e-07	0.21287057073814702
DN.T	4.102325299518173e-07	6.458954860036116e-07	0.26266932742973953
CD16.Mono	5.242677539205893e-08	2.759720171388282e-07	0.4246657923342576
CD4.Naive	1.5043590566896408e-08	2.1755610991502644e-07	0.47243586915119
pro-B	9.6429381230078e-10	2.0937686716126242e-07	0.49816266134026366
NK.CD56bright	-7.666873498063543e-08	3.9205557701197977e-07	0.5775210636347523
NK.CD56Dim	-2.6982225509043027e-08	1.2991245797959667e-07	0.5822666119666386
CD14.Mono	-5.503060865220493e-08	1.418187088034054e-07	0.6510048970766947
CD8.Effector	-6.388428939738207e-08	1.457501453681812e-07	0.669420561682376
pre-B	-1.3733394267654108e-07	2.3451664524685798e-07	0.7209292520386582
pDC	-2.2287625005321733e-07	3.5909837134792746e-07	0.7325867244033912
