Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DC	4.2596958607965067e-07	3.1368943024360937e-07	0.08724229189841404
CD14.Mono	2.1464765495939665e-07	1.7822339871682615e-07	0.11422249865930872
pDC	2.9565040896902123e-07	3.695473082710172e-07	0.21184555097322255
CD4.Memory	3.083768585327256e-07	4.0896500881029876e-07	0.2254119533064441
NK.CD56Dim	1.5056466096966385e-07	2.0622773159141266e-07	0.23266779951950212
CD8.Effector	1.18218234446077e-07	1.6559476062471575e-07	0.23764425691245872
DN.T	2.666554535273982e-07	3.9885541272836844e-07	0.25189075454040477
CD4.Naive	1.4140536723105404e-07	2.80158877370456e-07	0.3068732693788112
NK.CD56bright	1.4768807555075557e-07	4.40805356037243e-07	0.3687969009245601
CD8.Naive	-2.8167775751477972e-09	2.560096544193051e-07	0.5043893227364604
pro-B	-2.7223562114868767e-08	1.7190061688061866e-07	0.5629165980454791
pre-B	-1.8046129010754492e-07	1.501222534833256e-07	0.8853367412940553
CD16.Mono	-4.771453263742348e-07	2.0094585963337648e-07	0.9912135587776427
