Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pro-B	4.8218127130632246e-08	4.9117269776862136e-08	0.16312532066261903
CD4.Memory	7.438267946997079e-08	7.734211447694809e-08	0.16809117000151402
CD16.Mono	5.62388364287518e-08	6.380026916780035e-08	0.189028294500042
CD8.Effector	4.077536431458122e-08	5.17594548937502e-08	0.21541100007018493
pre-B	2.757897110282978e-08	4.823674024517569e-08	0.2837483826372946
pDC	4.5365958063342584e-08	9.25599122774255e-08	0.3120226055115623
CD4.Naive	2.1921014064469017e-08	4.733855520934743e-08	0.3216574801984516
CD8.Naive	1.018987404964384e-08	4.551671563401934e-08	0.411428828839015
DC	2.2437615482985226e-08	1.0818965963263956e-07	0.41785206128759356
DN.T	-8.107428517865894e-09	5.944769696092568e-08	0.5542392364287422
NK.CD56Dim	-1.016419356682079e-08	5.471596948646997e-08	0.5736846243974493
CD14.Mono	-1.8640769410085956e-08	3.212796010557526e-08	0.7191114554226097
NK.CD56bright	-4.156696392361975e-08	5.416832679805308e-08	0.7785682049172282
