Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NK.CD56bright	9.566464567185315e-08	8.482441849520783e-08	0.12970302711890047
CD4.Memory	4.674807733794071e-08	5.103303295902786e-08	0.17982409940765215
CD14.Mono	2.6570905166157903e-08	3.498581355609771e-08	0.2237837667104713
CD8.Naive	-1.0710823287704055e-08	4.18008025579911e-08	0.601115258324757
pDC	-2.0297766283731658e-08	6.499148717270622e-08	0.6225991367764556
CD16.Mono	-2.4554261111239973e-08	6.337411039365425e-08	0.6507882313137628
DN.T	-2.2301780732130744e-08	4.0782237864548543e-08	0.7077592230900487
CD4.Naive	-2.0607816338396828e-08	3.4262801534719307e-08	0.7262342626252117
NK.CD56Dim	-3.2706205949492876e-08	3.24453648352498e-08	0.8432822249520774
DC	-9.960460061842025e-08	7.144488781124904e-08	0.9183632313131576
pro-B	-7.596403759231149e-08	3.91199533942136e-08	0.9739207533361587
CD8.Effector	-6.086054250337378e-08	2.548892607204553e-08	0.9915234858756102
pre-B	-1.012319182956861e-07	3.964194057005527e-08	0.9946700892836389
