Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pDC	3.242571305283408e-07	2.589664103319117e-07	0.10526299395372096
CD8.Effector	8.627504086397536e-08	1.2243265106526712e-07	0.2405067330622217
CD14.Mono	1.3167846933272815e-07	2.640671048069461e-07	0.30901110939001475
NK.CD56Dim	1.749550315135867e-08	1.345280455221118e-07	0.4482630494264997
pre-B	-3.715701291617849e-08	1.410571700703843e-07	0.6038858325784656
DC	-7.709465358578492e-08	2.288520026421363e-07	0.631894656666999
pro-B	-7.612572238709534e-08	1.2396753527913907e-07	0.7304180707349628
CD8.Naive	-9.492261563480547e-08	1.4984166721384806e-07	0.7367918773579831
NK.CD56bright	-1.7027064270204563e-07	2.2185892913893575e-07	0.7785997023123855
CD4.Memory	-1.2413332395741166e-07	1.5859007565262544e-07	0.7831073705031019
CD16.Mono	-2.1959747117830633e-07	1.6873778340663108e-07	0.9034413621431672
CD4.Naive	-1.824471891358875e-07	1.1789729681136366e-07	0.9391297846105267
DN.T	-2.662362277849733e-07	1.3091596875954482e-07	0.9790061539088777
