Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD8.Effector	3.2364836612600723e-07	2.9549603049272057e-07	0.13669886545249588
NK.CD56bright	7.933935887115005e-07	7.568047141219556e-07	0.1472394917722354
NK.CD56Dim	3.6058251235027e-07	3.6629201272427037e-07	0.16245631599932747
CD16.Mono	5.609097159680647e-07	7.002951526954796e-07	0.21157685981587732
pre-B	1.8256407443716005e-07	3.645385862032197e-07	0.30825290137349837
CD8.Naive	1.755710705398665e-07	5.352205932351124e-07	0.37144261149999436
CD4.Naive	-6.514000284977688e-08	3.7317273637837393e-07	0.5692862248624317
pDC	-1.8402231690276715e-07	5.557139979895006e-07	0.6297327941656924
CD14.Mono	-1.1678371391297948e-07	2.6488127802087206e-07	0.6703539664717794
DN.T	-4.5717742932453513e-07	4.41506352701385e-07	0.8497809986971604
pro-B	-3.6091047576776644e-07	3.3517791317036476e-07	0.8592091205996915
CD4.Memory	-6.301123647422984e-07	5.733699812801584e-07	0.8641078860785147
DC	-7.438171481732037e-07	4.50322867984189e-07	0.9507064110832023
