Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pro-B	8.903416612547433e-08	7.47474415302279e-08	0.11680063100191279
CD16.Mono	7.262932145877372e-08	7.008481772635236e-08	0.15002968949872864
DC	1.4018112747000788e-07	1.5586837806420507e-07	0.18423159121609206
CD14.Mono	3.125968215645707e-08	4.8159166490940946e-08	0.2581397752305789
pre-B	3.48893303818247e-08	7.384404173832541e-08	0.31829453483758885
CD4.Naive	-5.593825102460264e-09	5.1886339577908866e-08	0.5429264801692277
DN.T	-1.3677407595080411e-08	7.947313342031935e-08	0.5683209458973207
CD8.Effector	-1.21153322994236e-08	4.596439171521535e-08	0.603948532294823
pDC	-3.901268948856366e-08	7.081450467632429e-08	0.7091536243767861
NK.CD56Dim	-4.430840844429207e-08	4.574357817563898e-08	0.8336340285226937
NK.CD56bright	-8.919927791464476e-08	7.134149181318667e-08	0.8944075973962116
CD4.Memory	-1.0271706977728565e-07	6.92142637276691e-08	0.9311014851548086
CD8.Naive	-1.3407734192808223e-07	4.939450146910682e-08	0.9966803869294235
