Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD16.Mono	1.319484622900447e-07	9.445790790833406e-08	0.0812214868183117
pre-B	5.7392691194747625e-08	6.642015085975687e-08	0.1937704539207603
pDC	2.6893962863108154e-08	7.394651745135788e-08	0.35804296852334516
DC	3.152392794642355e-08	1.1571307021174021e-07	0.39264498569486495
NK.CD56Dim	4.7361610508297716e-09	4.925625709418184e-08	0.46169933437931704
CD8.Naive	-6.244496636014494e-09	5.8268507256507995e-08	0.5426719943865411
CD4.Memory	-1.1302895057619942e-08	7.377198774404764e-08	0.5608852076650916
CD8.Effector	-1.1151659932148388e-08	4.411935542667354e-08	0.599773612623501
NK.CD56bright	-2.5816554404512263e-08	8.055019565645188e-08	0.6257063543245818
CD14.Mono	-1.4536404196851901e-08	4.099895094494372e-08	0.6385386965283812
pro-B	-2.8779043733850138e-08	6.255211738950784e-08	0.677270976608912
DN.T	-3.1155474807700584e-08	6.28724898636409e-08	0.6898884893041367
CD4.Naive	-2.980774118147912e-08	4.1348997752474766e-08	0.7645088885963062
