Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pre-B	8.592459508092088e-07	7.554044331385215e-07	0.12767201623823532
NK.CD56bright	1.103656791660406e-06	1.5059073416900018e-06	0.2318143086514412
NK.CD56Dim	1.5312214849835215e-07	2.751697571378535e-07	0.2889467437421471
DC	2.755984063054411e-07	6.982689511605286e-07	0.3465365638291329
CD14.Mono	1.0769937105828006e-07	7.273247601475e-07	0.44114137871737286
CD16.Mono	1.1475956046610681e-07	3.3973958673580927e-06	0.4865268170866544
pDC	-6.567605905849591e-08	9.930824532266366e-07	0.5263642462501518
pro-B	-4.455247461085701e-07	5.862110906518873e-07	0.7763749086334579
CD4.Memory	-3.5019571535548964e-07	3.969215730796426e-07	0.8111871250560165
DN.T	-7.53727804581715e-07	7.369933461650429e-07	0.846776655415576
CD8.Effector	-5.517795307991665e-07	3.000810449541963e-07	0.9670253680503054
CD8.Naive	-6.087449469366179e-07	3.2895585219648834e-07	0.967881898494578
CD4.Naive	-8.620604086452458e-07	3.8735091773383306e-07	0.9869771014581205
