Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DN.T	5.8895327316391126e-08	4.8991371080957167e-08	0.11465132267378719
CD14.Mono	4.218097261887236e-08	4.523750564751817e-08	0.17555623001749593
CD4.Memory	4.223606970432828e-08	5.1199425425781506e-08	0.2047049585959842
CD16.Mono	4.142687029324296e-08	6.086751390897289e-08	0.24806002411498496
NK.CD56Dim	2.0988002484155043e-08	4.4937914636553175e-08	0.3202340472880677
CD4.Naive	1.909305816279223e-08	4.7639931861827135e-08	0.34429162228241394
pre-B	7.301625111801082e-09	4.9048943048582405e-08	0.44083044806251276
pDC	-8.98744588591139e-09	9.212474397037964e-08	0.5388581036473312
pro-B	-1.232355031267839e-08	4.763317161843078e-08	0.6020735153324615
CD8.Effector	-1.0181674027117719e-08	3.657472199959958e-08	0.6096396952768269
NK.CD56bright	-6.200627095543373e-08	8.254389647609192e-08	0.7737312835720294
DC	-1.335339419709285e-07	8.233447046483117e-08	0.9475819804441599
CD8.Naive	-8.558148636685207e-08	4.487848324736249e-08	0.9717371363949162
