Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD14.Mono	5.291352896229537e-08	6.397338393111043e-08	0.2040851286524874
pro-B	5.126987658153102e-08	6.752442129056074e-08	0.22384283179311182
pre-B	1.649077758927228e-08	6.348237130699987e-08	0.39752082753659834
NK.CD56bright	6.786579615975498e-09	1.0717842989700805e-07	0.4747556910899829
DN.T	-7.1218428086741165e-09	8.660721089420201e-08	0.5327686964920586
CD4.Naive	-1.915841586442771e-08	5.072991663773246e-08	0.6471566168176845
CD8.Effector	-1.9959457120870434e-08	4.1133983491136114e-08	0.686243521522055
NK.CD56Dim	-2.0328892409448102e-08	4.147037265065374e-08	0.6880047969160574
CD4.Memory	-5.027077226850026e-08	6.749250289849827e-08	0.7718142358141028
DC	-8.569635416865882e-08	8.298922992470465e-08	0.8491091614641797
CD8.Naive	-7.158294099754969e-08	5.347934943960733e-08	0.9096357831299766
CD16.Mono	-1.0231400171037497e-07	7.37261229831304e-08	0.9173945944453074
pDC	-1.341205194367845e-07	8.042577444186132e-08	0.952305505685732
