Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pre-B	1.1597285783789263e-07	9.33378794960698e-08	0.1070249985568657
CD14.Mono	1.6389101485375838e-07	1.78663700573527e-07	0.17948862030150758
DC	1.42832472569936e-07	1.849229533440282e-07	0.21994200534824393
pro-B	2.9775330375484577e-08	8.871144051463414e-08	0.36857023249706966
NK.CD56bright	5.2313056900793246e-08	2.070689123205301e-07	0.40027476312987065
pDC	-7.796499454985805e-09	1.6827911983812036e-07	0.5184766885140216
NK.CD56Dim	-1.9947093096322813e-08	1.0366096689956261e-07	0.5762958413835265
CD8.Naive	-7.635983557365698e-08	1.0803811824134225e-07	0.760150279637823
CD8.Effector	-8.455740637016997e-08	8.69226585459292e-08	0.8346709103929383
CD16.Mono	-1.304569690373584e-07	1.0011662990755668e-07	0.9037211444931537
CD4.Naive	-1.277992691231582e-07	9.236753649839499e-08	0.9167587622845981
CD4.Memory	-1.785316769423668e-07	1.1952218531748527e-07	0.9323744948419297
DN.T	-2.2329488390186736e-07	1.0691092263856995e-07	0.981628435353146
