Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NK.CD56Dim	3.199806299753707e-07	1.2947352494773313e-07	0.0067292941326473526
pro-B	1.783375266103912e-07	7.370567552216725e-08	0.007769004347133142
CD8.Effector	1.9916510873069537e-07	9.057064088702456e-08	0.013938855392960943
CD4.Naive	2.2111678062095155e-07	1.1521487669599213e-07	0.027481496144021757
DN.T	3.467467819092255e-07	1.9810257175433503e-07	0.040029863308118946
CD8.Naive	2.593170651144334e-07	1.4825138028721182e-07	0.04013070351558472
pre-B	1.0558852776792373e-07	7.010655648093406e-08	0.06601884294791087
CD4.Memory	2.4164826315870056e-07	1.9825616138346524e-07	0.11144698358203065
NK.CD56bright	4.3213099776742494e-07	3.831923456703143e-07	0.1297205683819166
pDC	1.1051552472358512e-07	1.0237170124660386e-07	0.14017097200709594
CD16.Mono	1.808681600615561e-08	1.1884097382089034e-07	0.4395171859402853
DC	1.4313676063790565e-08	1.1734622217939575e-07	0.45145815812262885
CD14.Mono	-2.3138299093733408e-08	5.687378703395962e-08	0.6579357461165158
