Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DC	5.848311922024841e-07	1.8496371196744935e-07	0.0007837979347879222
CD4.Naive	8.037203252619239e-08	5.4202184462967765e-08	0.06906124456322227
CD4.Memory	1.0912685088348506e-07	7.734745036701066e-08	0.07914213514026802
CD8.Naive	1.5124780161404364e-07	1.2179126485215116e-07	0.10714395662044796
pre-B	2.2588328494629265e-07	1.8234665067028175e-07	0.10771765480350137
CD14.Mono	5.414344182649482e-08	4.438101940909594e-08	0.11123842461741007
pro-B	2.0484355696239035e-07	1.8967959172402077e-07	0.14008330085127774
pDC	7.638820699852363e-08	8.110696270622111e-08	0.17314225232052705
CD16.Mono	5.3085503080906695e-08	7.761249929450384e-08	0.24699346709077336
CD8.Effector	3.0866693882918285e-08	4.696990788506898e-08	0.2555393687681893
DN.T	3.5272369184028286e-08	6.694090903424916e-08	0.2991252704602145
NK.CD56bright	4.0708876145296906e-08	8.24043191222651e-08	0.3106481939541321
NK.CD56Dim	1.288456733999974e-08	5.318864242643635e-08	0.4042960042500589
