Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pro-B	1.0084284814635643e-07	6.436783898424386e-08	0.05859649396861306
CD14.Mono	7.024163673647725e-08	5.085374593156622e-08	0.0836013546834346
DC	8.935722499144342e-08	9.446292593838853e-08	0.17208699009183254
pre-B	4.826785987178485e-08	6.082348870468538e-08	0.2137221166860923
NK.CD56Dim	7.370215587826708e-09	4.309352970620731e-08	0.4321007341698283
pDC	1.0786561334015228e-09	9.17936264161722e-08	0.4953121839579932
NK.CD56bright	-1.079022127651877e-08	8.920310827477348e-08	0.5481395880492813
DN.T	-4.5363436392868314e-08	7.422698970779855e-08	0.7294481276943154
CD8.Effector	-2.4164894924278e-08	3.652304116241997e-08	0.7458971738721407
CD4.Naive	-3.412804681742938e-08	5.1286988325894905e-08	0.7471131601850929
CD16.Mono	-6.486172368720286e-08	7.413567211049605e-08	0.8091873971174646
CD4.Memory	-1.034327731054017e-07	6.812526875466878e-08	0.935527235690281
CD8.Naive	-1.1264277653448194e-07	4.491963348625666e-08	0.9939231728277726
