Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD8.Effector	4.821528877248346e-07	1.5663127200693575e-07	0.001041041115690908
CD4.Memory	9.979640627774618e-07	3.715285928309974e-07	0.003614540144322488
pro-B	8.790064404998076e-07	3.6029963765991026e-07	0.00735066819772559
NK.CD56Dim	4.2975687267660683e-07	1.9361851020746738e-07	0.013222750789028617
DN.T	7.73769976711928e-07	3.530957114454834e-07	0.014211835543941636
CD4.Naive	5.000056977374093e-07	2.2924687851927058e-07	0.014588763483400474
DC	9.192520810582722e-07	4.2267103423628863e-07	0.014820148930088354
CD8.Naive	7.222891137347661e-07	3.3316877356927354e-07	0.015081717013042875
pre-B	6.582177864617733e-07	3.247976239834545e-07	0.021354359311283214
NK.CD56bright	3.364277452790297e-07	4.206422550371632e-07	0.21191467111952278
pDC	5.807175029025828e-08	2.704623722926391e-07	0.414995596620254
CD14.Mono	-1.53431876067809e-07	1.0167689426798146e-07	0.934352421502378
CD16.Mono	-2.5924233875456024e-07	1.4840995806568595e-07	0.9596638788116632
