Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pDC	1.2511270312213693e-07	9.066090799371048e-08	0.08379221852278024
NK.CD56Dim	2.8765646613525267e-08	5.770140673286979e-08	0.3090567039010808
pre-B	2.831394212007665e-08	6.415135169149057e-08	0.32947562486342796
NK.CD56bright	4.555611091525857e-08	1.1156051897325863e-07	0.3415071408634427
pro-B	6.228243482847657e-09	6.396691626224908e-08	0.4612176195173411
CD16.Mono	-2.4930078675953478e-08	7.337070360763926e-08	0.6329898237420579
DC	-4.9879060154174534e-08	1.1808753579305802e-07	0.6636300157740405
CD4.Naive	-2.273916853765632e-08	4.711519242550261e-08	0.6853204857892938
CD8.Naive	-2.957033606777802e-08	4.889836097994841e-08	0.7273209997474741
DN.T	-5.21208274508038e-08	6.830384538521455e-08	0.7772901009742674
CD14.Mono	-4.367020563493098e-08	4.851998413599104e-08	0.8159520484787633
CD8.Effector	-5.3412693942859804e-08	3.830896256664788e-08	0.9183806041668159
CD4.Memory	-9.63187567970948e-08	4.9083328463858346e-08	0.9751392284750666
