Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pDC	9.146435049722841e-08	6.962484731504316e-08	0.09447796992124663
NK.CD56Dim	1.8064702914538873e-08	3.3162023501231376e-08	0.2929659443875411
NK.CD56bright	2.6734749650176862e-08	6.999676801083828e-08	0.3512519595107486
CD8.Naive	-3.0560875330468903e-09	3.504083951813297e-08	0.5347496998467275
CD8.Effector	-3.868610479178975e-09	2.999641233201963e-08	0.5513089527295705
CD16.Mono	-1.0634007557362181e-08	5.815730214070664e-08	0.5725417702450384
pro-B	-3.039506129598545e-08	4.099215167758358e-08	0.7708002565803964
DC	-5.4887391160661725e-08	6.678169914323072e-08	0.7944310165798791
DN.T	-4.425699257806703e-08	5.259503743881588e-08	0.7999568400804657
CD4.Naive	-4.084695829327866e-08	4.139198405359211e-08	0.8381376392413693
CD14.Mono	-3.699077857413097e-08	3.013654648781975e-08	0.8901712201186008
CD4.Memory	-6.47539588768373e-08	4.549196303341943e-08	0.9226921086170666
pre-B	-8.480059607314173e-08	3.996663625008876e-08	0.9830720876834323
