Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD14.Mono	1.2041970767279935e-06	3.4576875527935204e-07	0.0002482236926559774
CD16.Mono	1.6055059173522502e-06	8.827942478676386e-07	0.03448137095449851
DC	1.2601147362282238e-06	7.187947754842588e-07	0.03979294522388413
NK.CD56Dim	3.8592829323032866e-07	3.6288743871102774e-07	0.14377919251775162
pre-B	3.8630658976032863e-07	3.6811516953799757e-07	0.1469929481659369
pro-B	3.28653604246602e-07	3.98779410138246e-07	0.20492748465311195
CD8.Effector	1.5809520856839212e-07	3.181109658314783e-07	0.3096011111603827
NK.CD56bright	9.955220760404818e-08	4.890124871851242e-07	0.419341624513627
CD8.Naive	-5.908917547756914e-08	4.0573795788408824e-07	0.5578947725133602
CD4.Naive	-1.8244122165477033e-07	2.601930986104768e-07	0.7584034858085249
DN.T	-3.3944593493969767e-07	3.9002298403818755e-07	0.8079380164132611
CD4.Memory	-4.6833642908661165e-07	3.4372356679904904e-07	0.9134859234749277
pDC	-6.527830883945391e-07	3.7546631001377384e-07	0.9589468083285698
