Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD8.Naive	5.404807262327151e-08	4.7845689113276886e-08	0.12931543536370577
CD16.Mono	5.969510208018385e-08	6.807634212533514e-08	0.19027463669073008
DC	2.7483336334261068e-08	7.233499548188615e-08	0.3519930367122419
CD8.Effector	4.576197976090895e-09	3.450000134845766e-08	0.44723769801314894
pro-B	1.6342089878086537e-09	4.298618734177292e-08	0.4848370351098945
NK.CD56bright	-6.995259172862483e-11	6.053174997373927e-08	0.5004610314465502
CD14.Mono	-5.797303271244006e-09	3.2942875065431895e-08	0.5698453647241458
pre-B	-1.5324201069082634e-08	4.202766371501651e-08	0.642303118461083
DN.T	-2.841266810229204e-08	5.069076001463997e-08	0.7124341237886952
NK.CD56Dim	-2.566372855528521e-08	3.026686692514023e-08	0.8017573273039533
pDC	-7.163531255438539e-08	6.460222355235275e-08	0.8662563484799513
CD4.Memory	-9.07938511726977e-08	6.379013671021888e-08	0.922678461708385
CD4.Naive	-7.629725434047138e-08	3.2293820098009514e-08	0.9909262828454554
