Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pDC	2.8351542202757934e-07	1.8383848711779722e-07	0.06151269350825817
CD14.Mono	1.8387649600968436e-07	1.329637868345812e-07	0.08334675589870583
DC	2.4367231228540064e-07	2.0343473710929133e-07	0.11549918146915217
pro-B	1.0042686397273276e-07	9.911312202414452e-08	0.1554691938669962
pre-B	1.0171761595151251e-07	1.1208247590239761e-07	0.1820646954134209
CD16.Mono	-7.648890287649756e-08	9.392704962778164e-08	0.79227596449796
NK.CD56bright	-1.191158926893707e-07	1.0264880097750394e-07	0.8770614151806793
CD4.Memory	-1.2726049597317324e-07	8.339865651126157e-08	0.9364863269510744
DN.T	-1.859742473896828e-07	9.303669569601116e-08	0.9771922715542728
CD8.Effector	-1.1771758217445773e-07	5.7419833370433644e-08	0.9798236672780815
CD4.Naive	-1.6895034642703698e-07	7.069352429115378e-08	0.9915734847756869
NK.CD56Dim	-1.6422158240781136e-07	6.446063493189512e-08	0.9945770643739638
CD8.Naive	-2.2347694910922475e-07	6.76737593035111e-08	0.9995204695557756
