Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD14.Mono	5.3488637202691884e-08	4.393992644609749e-08	0.11174260303544448
DC	7.685078963794445e-08	8.08253406613372e-08	0.17084649947064184
CD16.Mono	4.1468609424342116e-08	6.944839668018159e-08	0.275215638181871
CD8.Naive	1.577650831708839e-08	4.8625528280202856e-08	0.37279903042553164
CD4.Naive	2.535470513900396e-09	4.500671966325729e-08	0.47753731845289626
pDC	-2.2747730895353887e-09	7.81380280880558e-08	0.5116124634060698
CD8.Effector	-4.291875980466958e-09	4.0696519472330015e-08	0.5419948009184336
NK.CD56Dim	-4.751433202147556e-09	3.855702611825617e-08	0.5490380373747915
pre-B	-9.110492491543992e-09	5.9242933830362106e-08	0.5611091575344364
pro-B	-1.2514657032174986e-08	6.500571658623416e-08	0.576331081323062
DN.T	-2.460617521111406e-08	7.075620052592069e-08	0.6359897781725955
NK.CD56bright	-3.82026082727266e-08	8.713136029043338e-08	0.6694693777297446
CD4.Memory	-4.51129282820413e-08	7.274065064947895e-08	0.7324332141122394
