Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD4.Naive	3.098017437799076e-07	1.267759066662944e-07	0.007268840415453891
NK.CD56Dim	2.61022184344482e-07	1.1380137232917798e-07	0.010904884499320922
CD8.Naive	2.725736767955667e-07	1.372019340835239e-07	0.02348001035197814
DN.T	3.7721761245874717e-07	2.0438332251794825e-07	0.0324723975645219
NK.CD56bright	6.572154607585526e-07	4.050160277094876e-07	0.05232784435160757
CD4.Memory	2.8731163743306217e-07	1.9579059986391798e-07	0.07112772817197546
pDC	2.059453783536808e-07	1.6157251855863913e-07	0.10121989881684251
CD8.Effector	1.0571566994657697e-07	8.543832685730495e-08	0.10798172187841204
pro-B	5.127846849220085e-08	9.720332844240502e-08	0.298909949656034
DC	4.158872372919423e-08	1.1946461632590818e-07	0.36387282755747496
pre-B	-2.5060823510070577e-08	7.838433116628725e-08	0.6254086624115194
CD14.Mono	-7.235713087189872e-08	4.923507331817023e-08	0.929168426986314
CD16.Mono	-2.3600130509024675e-07	6.718884739543835e-08	0.9997780499476038
