Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NK.CD56Dim	1.0592143409522001e-07	6.784959746090936e-08	0.05924759742292218
CD8.Effector	8.106259172844394e-08	6.098637905241857e-08	0.09189235856393624
NK.CD56bright	1.9058693492718684e-07	1.4631680317320648e-07	0.09636190390604782
pDC	9.734093144353954e-08	1.0375513050789403e-07	0.17407609822810954
CD8.Naive	6.240559978228223e-08	6.810849957868926e-08	0.17976332353015073
CD14.Mono	1.0495813999692008e-08	5.022965122746501e-08	0.41724108383157826
DC	-8.309036921095461e-08	9.095706845637338e-08	0.8195133249101623
pro-B	-7.27763943257834e-08	6.139696854206132e-08	0.8820588371850203
CD4.Memory	-1.0858008434635101e-07	7.091685832633e-08	0.9371264101188624
CD16.Mono	-1.0593957191145234e-07	6.730318284406154e-08	0.9422637668419406
DN.T	-1.282774837734897e-07	7.300271164285447e-08	0.9605547749447673
CD4.Naive	-1.0152170084107527e-07	5.588695779703002e-08	0.9653573168655365
pre-B	-1.4881004702966238e-07	6.0282331656608e-08	0.9932169456559667
