Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD14.Mono	5.1171977595203943e-08	3.71715508218097e-08	0.08431123175667671
CD8.Naive	5.488520036963458e-08	4.793172479146234e-08	0.12608999323175413
DN.T	3.144876890616885e-08	5.410869261140055e-08	0.2805478722794692
DC	3.182471003156555e-08	7.403339399206094e-08	0.3336452277278182
NK.CD56Dim	1.959187224824353e-08	4.750891864184865e-08	0.3400293464566879
CD8.Effector	5.088918179425652e-09	4.125465156252386e-08	0.45091346856666253
pro-B	-1.3530885633312783e-09	4.6538835315433694e-08	0.5115973722108766
pDC	-3.0098172194651155e-09	6.228045766869583e-08	0.5192721146866871
NK.CD56bright	-2.6566775301570487e-08	7.700056018628325e-08	0.6349605376231048
CD4.Memory	-1.8759328518110047e-08	5.179931448554665e-08	0.6413815208191673
pre-B	-4.343825454487182e-08	4.0303126565714274e-08	0.8594359691157484
CD16.Mono	-7.218858690680652e-08	5.0655189079485363e-08	0.9229355006205897
CD4.Naive	-4.727403400994517e-08	3.2773422544950334e-08	0.9254123122408191
