Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NK.CD56bright	6.855620303028645e-08	6.91417090121248e-08	0.16071298679731072
NK.CD56Dim	2.928292835682073e-08	3.05124415366348e-08	0.168601971425218
pre-B	3.64889159215436e-08	4.4667348939442684e-08	0.20699177443049355
CD8.Effector	2.120646439937071e-08	2.7903346515050774e-08	0.2236281380931492
pDC	2.5706816794479732e-08	6.533926618615408e-08	0.3469987579066529
DC	8.92081808073195e-09	6.607871382116767e-08	0.4463047902097696
CD4.Memory	6.3750896055017855e-09	5.33252007458986e-08	0.4524193554100998
DN.T	7.50148110277881e-09	6.384330378684762e-08	0.453232586613225
CD4.Naive	8.074721625574118e-10	4.408458443674347e-08	0.4926932105936272
CD8.Naive	-4.437753665343683e-10	3.4462988008691774e-08	0.5051369853408086
pro-B	-2.2725256567487083e-08	4.1862639212522985e-08	0.7063844684491166
CD14.Mono	-1.5471281537262156e-08	2.5799936139914976e-08	0.7256347606414743
CD16.Mono	-4.656019688511757e-08	4.8787512670515195e-08	0.8300458867289313
