Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD8.Effector	4.57879410581373e-08	3.584931518853599e-08	0.10075993746804407
CD14.Mono	4.294582674396893e-08	3.593540999135393e-08	0.11602714309429063
pDC	5.85438740436972e-08	6.334044226100934e-08	0.17767204300732126
DC	7.990936538750143e-08	8.879684444619718e-08	0.18408348331373825
CD8.Naive	2.456683054357971e-08	4.513518031335243e-08	0.29311941447363765
NK.CD56Dim	1.0245320759534364e-08	3.265233533538427e-08	0.37684789458722945
CD16.Mono	2.053745967578018e-08	6.801154047491062e-08	0.3813373833391681
CD4.Memory	1.5667627774580782e-08	7.161866953315228e-08	0.4134167219029203
pre-B	-2.240729992973829e-08	4.8117962271935814e-08	0.6792756859737134
NK.CD56bright	-2.7304020016435497e-08	5.443764750288444e-08	0.6920132364724281
DN.T	-6.23333271188911e-08	6.024922892307915e-08	0.8495700869420497
CD4.Naive	-4.983519889085519e-08	4.234261168659371e-08	0.880392560753133
pro-B	-5.5421033482859275e-08	4.20800468853542e-08	0.9060871068606469
