Name	Coefficient	Coefficient_std_error	Coefficient_P_value
NK.CD56Dim	6.50196191882956e-07	4.5357454246652083e-07	0.07585841703548789
CD8.Effector	3.535125469205169e-07	3.373654122549317e-07	0.1473509927706229
CD8.Naive	2.961212286256026e-07	5.0258822783759e-07	0.2778660644008625
CD14.Mono	1.7161031879036504e-07	2.996668794450769e-07	0.28343397863064784
NK.CD56bright	3.8637041075297713e-07	7.472328199556088e-07	0.3025542375490632
DN.T	9.390848509739595e-08	6.692195416034133e-07	0.4442014570041356
pre-B	1.8402549559095966e-08	3.551622479421108e-07	0.47933825618489645
CD16.Mono	1.742555560861917e-08	4.1720737068903134e-07	0.4833421682278625
CD4.Naive	-3.8182905539814784e-08	3.824364775195222e-07	0.5397647889836589
pDC	-2.8996940315867447e-07	5.496766304071806e-07	0.7010862521256448
DC	-3.226909824144703e-07	4.949551501013172e-07	0.7427865263768754
pro-B	-2.7760370602441005e-07	3.995284865639104e-07	0.7564185501196659
CD4.Memory	-6.582617926403385e-07	5.074099737214502e-07	0.9027356125282071
