Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pre-B	4.029969767426818e-07	2.272197081422323e-07	0.03806463155932778
NK.CD56bright	4.2816133861094896e-07	4.0892651465586444e-07	0.14754117365674213
pro-B	1.9548720794449342e-07	2.2268109683731431e-07	0.19000451132670487
CD14.Mono	1.2244922083826686e-07	1.4069375454312122e-07	0.1920615482344843
DN.T	1.8577982339612756e-07	2.851698421648339e-07	0.2573713122795658
NK.CD56Dim	7.150683590149971e-08	1.903740031571093e-07	0.3536025360571512
pDC	2.1991879550055616e-08	2.866978989497708e-07	0.469428118345979
CD8.Naive	1.321321598041924e-08	2.549928478170318e-07	0.4793368617708377
DC	1.4640756061383116e-08	3.173826864358278e-07	0.4816034521403302
CD16.Mono	-2.9952161708476883e-08	4.030902696529462e-07	0.5296166828979457
CD4.Naive	-1.8705127999244667e-07	1.280490140667996e-07	0.927961916718356
CD4.Memory	-2.7753191885558776e-07	1.7939374110766785e-07	0.9390749642437023
CD8.Effector	-1.5401492976238524e-07	9.782129455543396e-08	0.9423085012558282
