Name	Coefficient	Coefficient_std_error	Coefficient_P_value
DC	2.0989123020696556e-07	1.5572321719780614e-07	0.0888536344705117
pre-B	6.359532949090452e-08	5.943254185710004e-08	0.14230015079108688
CD16.Mono	6.096053865718064e-08	7.012429358818876e-08	0.192335721128451
DN.T	4.229768001214978e-08	5.015424633337777e-08	0.1995158262565349
NK.CD56bright	5.031947825488649e-08	6.056291347639339e-08	0.20302554057763972
pro-B	3.1085289999615066e-08	5.025817644939224e-08	0.26811891378248454
CD4.Naive	1.4101220930160712e-08	3.275254121852504e-08	0.3334020838400264
pDC	2.8590592301152814e-08	8.569434502812085e-08	0.3693276803140514
CD8.Naive	1.8996522827827232e-10	4.342174107182873e-08	0.4982546780081543
CD8.Effector	-3.5506867802015306e-09	3.492798643096319e-08	0.5404856744792258
CD4.Memory	-1.4640148360452032e-08	6.747904743682654e-08	0.5858796303141481
NK.CD56Dim	-1.966160541854913e-08	3.3876773572355287e-08	0.7191728310929759
CD14.Mono	-2.4130651273713056e-08	3.739858074020771e-08	0.7406106231458558
