Name	Coefficient	Coefficient_std_error	Coefficient_P_value
pro-B	1.1063187547870134e-07	5.719283335207956e-08	0.02653406841668776
NK.CD56Dim	7.912517803245082e-08	5.0882236192642134e-08	0.059965310214274696
DC	1.364966634056034e-07	1.0246202464278992e-07	0.0914024418076873
CD8.Naive	7.832534442277143e-08	6.845323745253225e-08	0.12626686842226736
DN.T	5.337828754559738e-08	6.74886782336999e-08	0.2144947237016075
CD14.Mono	2.6849659363901173e-08	3.5231369139526815e-08	0.22300157633933843
CD8.Effector	2.332057112130051e-08	3.4864457075950265e-08	0.25178205241182994
NK.CD56bright	5.5070308324340676e-08	9.735668322748117e-08	0.28581411796927914
CD16.Mono	2.9457212131987528e-08	7.383642274264012e-08	0.34496416854430284
pre-B	1.359630730770162e-08	4.664539330248799e-08	0.38534123308851587
CD4.Naive	6.704563148707253e-09	4.777860362794834e-08	0.44420135334502264
pDC	-6.668251113063106e-09	7.422257419537322e-08	0.5357933281714155
CD4.Memory	-7.365769862361761e-09	7.523191367120354e-08	0.5389971344943331
