Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD14.Mono	3.803385237472041e-08	3.2741781176722594e-08	0.122692789183801
DC	8.88584895373107e-08	9.489575309621276e-08	0.17453877427515901
CD4.Naive	2.4783104227522434e-08	3.792172679327702e-08	0.2567063240491302
DN.T	2.3319512451122154e-08	5.2913937564269477e-08	0.3297127709707838
pre-B	1.7107103111047093e-08	4.8267330685772615e-08	0.3615105545380489
pDC	1.9362663162421272e-08	7.85982305127789e-08	0.40270570771853387
CD4.Memory	9.132759892844902e-09	5.7691468960055055e-08	0.43710883583768834
CD8.Effector	-3.8800515137943804e-09	3.1678489492221124e-08	0.5487414342560439
pro-B	-1.7339762334229184e-08	5.080206003029898e-08	0.6335686771707023
NK.CD56bright	-2.3277066189186938e-08	5.088804380167847e-08	0.6763143958152217
CD16.Mono	-2.6718445991155862e-08	4.6782258741002486e-08	0.7160420252238354
CD8.Naive	-3.621961719265588e-08	3.9724081175233754e-08	0.8190576929187989
NK.CD56Dim	-5.566255504248429e-08	3.229727340568792e-08	0.957595904373658
