Name	Coefficient	Coefficient_std_error	Coefficient_P_value
CD4.Naive	1.999327906198362e-07	1.1298214522655333e-07	0.0383972045465408
DN.T	1.1233202448675259e-07	1.2287682285988046e-07	0.18031008700394485
CD16.Mono	-1.5547523115912946e-08	1.1298337188670314e-07	0.5547252589256084
pDC	-3.2720080826110866e-08	1.2104484546190427e-07	0.6065405392520363
CD4.Memory	-4.0914815039978125e-08	1.0179483651292225e-07	0.6561337335302255
CD14.Mono	-4.225043817428124e-08	8.101775848985886e-08	0.698989359455057
pre-B	-9.00360560669981e-08	9.35551018274858e-08	0.8320719560510205
pro-B	-9.602959603174301e-08	9.845083248173192e-08	0.8353207051552507
NK.CD56bright	-1.3597030265552775e-07	1.190016416321606e-07	0.8733959489348575
NK.CD56Dim	-8.73812338594271e-08	5.4604602585846166e-08	0.9452288767786914
CD8.Effector	-1.122514946946507e-07	5.402092763556367e-08	0.9811419162410142
CD8.Naive	-1.6269272851891417e-07	7.468270380212917e-08	0.9853138203852135
DC	-2.8385124409029975e-07	1.0540385888043515e-07	0.9964592507476436
